address	distance	customers	trucks	truck_capacity	algorithm	total_distance
1400 Washington Ave, Albany, NY 12222	10000	10	4	10	nn	101.64183617931175
1400 Washington Ave, Albany, NY 12222	10000	17	4	10	sa	137.19105470336856
1400 Washington Ave, Albany, NY 12222	10000	1	4	10	sa	22.40781404554479
1400 Washington Ave, Albany, NY 12222	10000	24	4	10	nn	174.53846421784687
1400 Washington Ave, Albany, NY 12222	10000	6	4	10	sa	76.34171107278105
1400 Washington Ave, Albany, NY 12222	10000	21	4	10	aco	138.10167895794922
1400 Washington Ave, Albany, NY 12222	10000	18	4	10	nn	160.44157570046875
1400 Washington Ave, Albany, NY 12222	10000	4	4	10	nn	36.011172504951055
1400 Washington Ave, Albany, NY 12222	10000	33	4	10	ga	214.1469676760715
1400 Washington Ave, Albany, NY 12222	10000	33	4	10	sa	209.34303975169925
1400 Washington Ave, Albany, NY 12222	10000	16	4	10	sa	137.1485797948517
1400 Washington Ave, Albany, NY 12222	10000	37	4	10	aco	245.82597711234266
1400 Washington Ave, Albany, NY 12222	10000	40	4	10	nn	222.75027202292154
1400 Washington Ave, Albany, NY 12222	10000	34	4	10	ga	201.34848963440598
1400 Washington Ave, Albany, NY 12222	10000	6	4	10	nn	66.52199459497717
1400 Washington Ave, Albany, NY 12222	10000	3	4	10	nn	50.19914601264887
1400 Washington Ave, Albany, NY 12222	10000	16	4	10	aco	121.78380618023854
1400 Washington Ave, Albany, NY 12222	10000	20	4	10	sa	148.69144931158928
1400 Washington Ave, Albany, NY 12222	10000	8	4	10	nn	69.73036287965499
1400 Washington Ave, Albany, NY 12222	10000	8	4	10	sa	72.9438500468151
1400 Washington Ave, Albany, NY 12222	10000	40	4	10	ga	179.59533456097773
1400 Washington Ave, Albany, NY 12222	10000	32	4	10	nn	192.86437231701595
1400 Washington Ave, Albany, NY 12222	10000	34	4	10	sa	193.02155044877077
1400 Washington Ave, Albany, NY 12222	10000	39	4	10	aco	205.06497939021904
1400 Washington Ave, Albany, NY 12222	10000	15	4	10	ga	129.30263332761558
1400 Washington Ave, Albany, NY 12222	10000	22	4	10	nn	161.58589433642925
1400 Washington Ave, Albany, NY 12222	10000	29	4	10	aco	177.96023021240572
1400 Washington Ave, Albany, NY 12222	10000	39	4	10	sa	205.97045443921513
1400 Washington Ave, Albany, NY 12222	10000	36	4	10	ga	223.14921872549294
1400 Washington Ave, Albany, NY 12222	10000	12	4	10	aco	111.36134001009458
1400 Washington Ave, Albany, NY 12222	10000	36	4	10	nn	219.83314408518885
1400 Washington Ave, Albany, NY 12222	10000	17	4	10	nn	145.0583717432822
1400 Washington Ave, Albany, NY 12222	10000	40	4	10	sa	242.58222620147095
1400 Washington Ave, Albany, NY 12222	10000	34	4	10	ga	167.32960983686093
1400 Washington Ave, Albany, NY 12222	10000	12	4	10	nn	94.24202370854971
1400 Washington Ave, Albany, NY 12222	10000	4	4	10	nn	46.08901487453889
1400 Washington Ave, Albany, NY 12222	10000	31	4	10	aco	212.40784857506236
1400 Washington Ave, Albany, NY 12222	10000	22	4	10	sa	179.3613310361725
1400 Washington Ave, Albany, NY 12222	10000	5	4	10	sa	77.4816839886019
1400 Washington Ave, Albany, NY 12222	10000	6	4	10	sa	64.49293430884144
1400 Washington Ave, Albany, NY 12222	10000	31	4	10	ga	237.52971889397642
1400 Washington Ave, Albany, NY 12222	10000	25	4	10	aco	186.8280489566428
1400 Washington Ave, Albany, NY 12222	10000	7	4	10	ga	89.51280620075711
1400 Washington Ave, Albany, NY 12222	10000	40	4	10	nn	243.87015349175363
1400 Washington Ave, Albany, NY 12222	10000	15	4	10	sa	134.69972902133517
1400 Washington Ave, Albany, NY 12222	10000	17	4	10	ga	125.6598884764862
1400 Washington Ave, Albany, NY 12222	10000	14	4	10	sa	101.88798037330608
1400 Washington Ave, Albany, NY 12222	10000	17	4	10	nn	147.41622132968374
1400 Washington Ave, Albany, NY 12222	10000	13	4	10	sa	101.13950718050721
1400 Washington Ave, Albany, NY 12222	10000	15	4	10	ga	151.85855375407363
1400 Washington Ave, Albany, NY 12222	10000	36	4	10	aco	193.42073018104563
1400 Washington Ave, Albany, NY 12222	10000	10	4	10	ga	87.92174348796111
1400 Washington Ave, Albany, NY 12222	10000	31	4	10	nn	215.4002101309725
1400 Washington Ave, Albany, NY 12222	10000	18	4	10	sa	131.34903030796303
1400 Washington Ave, Albany, NY 12222	10000	15	4	10	ga	99.15058782701882
1400 Washington Ave, Albany, NY 12222	10000	29	4	10	aco	184.38163257877576
1400 Washington Ave, Albany, NY 12222	10000	20	4	10	sa	141.0678705346581
1400 Washington Ave, Albany, NY 12222	10000	11	4	10	aco	85.56767502128247
1400 Washington Ave, Albany, NY 12222	10000	22	4	10	ga	209.44570189810312
1400 Washington Ave, Albany, NY 12222	10000	40	4	10	nn	292.67128910529203
1400 Washington Ave, Albany, NY 12222	10000	15	4	10	aco	125.98402817601165
1400 Washington Ave, Albany, NY 12222	10000	39	4	10	sa	249.22031449844638
