address	distance	customers	trucks	truck_capacity	algorithm	total_distance
1400 Washington Ave, Albany, NY 12222	10000	49	4	25	aco	198.01000546016812
1400 Washington Ave, Albany, NY 12222	10000	65	4	25	sa	276.10896318203964
1400 Washington Ave, Albany, NY 12222	10000	30	4	25	aco	182.51658745086334
1400 Washington Ave, Albany, NY 12222	10000	91	4	25	ga	386.46052211101374
1400 Washington Ave, Albany, NY 12222	10000	97	4	25	nn	334.72281148156344
1400 Washington Ave, Albany, NY 12222	10000	97	4	25	sa	428.87672047467015
1400 Washington Ave, Albany, NY 12222	10000	62	4	25	ga	300.07917357906604
1400 Washington Ave, Albany, NY 12222	10000	5	4	25	sa	52.017936509584544
1400 Washington Ave, Albany, NY 12222	10000	27	4	25	sa	141.3351188574933
1400 Washington Ave, Albany, NY 12222	10000	84	4	25	aco	302.45695689486547
1400 Washington Ave, Albany, NY 12222	10000	80	4	25	nn	406.7798778762821
1400 Washington Ave, Albany, NY 12222	10000	22	4	25	aco	109.56053808715474
1400 Washington Ave, Albany, NY 12222	10000	48	4	25	sa	221.9984996831339
1400 Washington Ave, Albany, NY 12222	10000	84	4	25	ga	375.32376563518704
1400 Washington Ave, Albany, NY 12222	10000	41	4	25	aco	191.04917745386018
1400 Washington Ave, Albany, NY 12222	10000	85	4	25	nn	341.6577310017476
1400 Washington Ave, Albany, NY 12222	10000	20	4	25	nn	116.19577494955716
1400 Washington Ave, Albany, NY 12222	10000	24	4	25	aco	91.79966364007079
1400 Washington Ave, Albany, NY 12222	10000	82	4	25	sa	377.46067755824885
1400 Washington Ave, Albany, NY 12222	10000	16	4	25	sa	107.11679563631361
1400 Washington Ave, Albany, NY 12222	10000	90	4	25	ga	334.4973694124173
1400 Washington Ave, Albany, NY 12222	10000	26	4	25	aco	136.30424426240282
1400 Washington Ave, Albany, NY 12222	10000	91	4	25	nn	335.8794864736605
1400 Washington Ave, Albany, NY 12222	10000	82	4	25	sa	313.7155443293581
1400 Washington Ave, Albany, NY 12222	10000	90	4	25	ga	350.3522580189027
1400 Washington Ave, Albany, NY 12222	10000	73	4	25	aco	279.90965530714004
1400 Washington Ave, Albany, NY 12222	10000	75	4	25	nn	287.57772732547403
1400 Washington Ave, Albany, NY 12222	10000	41	4	25	ga	220.21868433211097
1400 Washington Ave, Albany, NY 12222	10000	64	4	25	sa	285.4873445948729
1400 Washington Ave, Albany, NY 12222	10000	40	4	25	sa	193.19706616946553
1400 Washington Ave, Albany, NY 12222	10000	11	4	25	sa	63.691830281507514
1400 Washington Ave, Albany, NY 12222	10000	72	4	25	nn	273.6634287664322
1400 Washington Ave, Albany, NY 12222	10000	15	4	25	nn	111.52171865997678
1400 Washington Ave, Albany, NY 12222	10000	76	4	25	ga	313.03577727207465
1400 Washington Ave, Albany, NY 12222	10000	14	4	25	nn	134.38362570228398
1400 Washington Ave, Albany, NY 12222	10000	98	4	25	aco	323.2495242754587
1400 Washington Ave, Albany, NY 12222	10000	43	4	25	nn	215.11853590069197
1400 Washington Ave, Albany, NY 12222	10000	85	4	25	sa	383.0645001547164
1400 Washington Ave, Albany, NY 12222	10000	79	4	25	ga	365.4563268497216
1400 Washington Ave, Albany, NY 12222	10000	38	4	25	aco	173.36488122172014
1400 Washington Ave, Albany, NY 12222	10000	40	4	25	nn	205.59959122130732
1400 Washington Ave, Albany, NY 12222	10000	19	4	25	ga	95.49266845166756
1400 Washington Ave, Albany, NY 12222	10000	47	4	25	sa	256.22038803144676
1400 Washington Ave, Albany, NY 12222	10000	18	4	25	nn	117.02151207272374
1400 Washington Ave, Albany, NY 12222	10000	25	4	25	aco	132.62026801725588
1400 Washington Ave, Albany, NY 12222	10000	44	4	25	ga	225.10199134815338
1400 Washington Ave, Albany, NY 12222	10000	1	4	25	ga	15.703117033009292
1400 Washington Ave, Albany, NY 12222	10000	40	4	25	aco	178.1369169087513
1400 Washington Ave, Albany, NY 12222	10000	93	4	25	sa	325.75682184454087
1400 Washington Ave, Albany, NY 12222	10000	91	4	25	nn	311.2117289652524
1400 Washington Ave, Albany, NY 12222	10000	2	4	25	nn	57.939491282500086
1400 Washington Ave, Albany, NY 12222	10000	65	4	25	ga	281.2436718186052
1400 Washington Ave, Albany, NY 12222	10000	28	4	25	ga	185.62356564839982
1400 Washington Ave, Albany, NY 12222	10000	70	4	25	sa	284.2227482997938
1400 Washington Ave, Albany, NY 12222	10000	73	4	25	nn	294.6717018149451
1400 Washington Ave, Albany, NY 12222	10000	80	4	25	aco	278.314475330839
1400 Washington Ave, Albany, NY 12222	10000	31	4	25	sa	169.95517400962976
1400 Washington Ave, Albany, NY 12222	10000	7	4	25	sa	87.94603528418277
1400 Washington Ave, Albany, NY 12222	10000	61	4	25	ga	228.23314566553552
1400 Washington Ave, Albany, NY 12222	10000	13	4	25	ga	74.36333222576285
1400 Washington Ave, Albany, NY 12222	10000	89	4	25	nn	279.074004429713
1400 Washington Ave, Albany, NY 12222	10000	68	4	25	aco	259.79810326803346
1400 Washington Ave, Albany, NY 12222	10000	87	4	25	sa	342.50909845813857
1400 Washington Ave, Albany, NY 12222	10000	14	4	25	aco	93.43119215265591
1400 Washington Ave, Albany, NY 12222	10000	30	4	25	nn	176.83588435139058
1400 Washington Ave, Albany, NY 12222	10000	18	4	25	sa	118.73729531109038
