address	distance	customers	trucks	truck_capacity	algorithm	total_distance
1400 Washington Ave, Albany, NY 12222	10000	191	4	100	nn	485.92503006092926
1400 Washington Ave, Albany, NY 12222	10000	14	4	100	nn	101.71464054321959
1400 Washington Ave, Albany, NY 12222	10000	310	4	100	sa	1409.0167799378382
1400 Washington Ave, Albany, NY 12222	10000	7	4	100	sa	58.28029637333746
1400 Washington Ave, Albany, NY 12222	10000	140	4	100	nn	337.1282493884538
1400 Washington Ave, Albany, NY 12222	10000	151	4	100	aco	372.80863601764946
1400 Washington Ave, Albany, NY 12222	10000	88	4	100	sa	527.1568186347214
1400 Washington Ave, Albany, NY 12222	10000	22	4	100	aco	98.91147525095205
1400 Washington Ave, Albany, NY 12222	10000	363	4	100	ga	1047.1288092490279
1400 Washington Ave, Albany, NY 12222	10000	156	4	100	ga	632.2747769330754
1400 Washington Ave, Albany, NY 12222	10000	251	4	100	nn	515.8516193656336
1400 Washington Ave, Albany, NY 12222	10000	80	4	100	aco	243.35545411821064
1400 Washington Ave, Albany, NY 12222	10000	218	4	100	sa	986.9353890465168
1400 Washington Ave, Albany, NY 12222	10000	264	4	100	nn	559.2374338575147
1400 Washington Ave, Albany, NY 12222	10000	300	4	100	sa	1191.613038349053
1400 Washington Ave, Albany, NY 12222	10000	374	4	100	ga	1184.4468791727913
1400 Washington Ave, Albany, NY 12222	10000	70	4	100	ga	339.24095214972584
1400 Washington Ave, Albany, NY 12222	10000	157	4	100	ga	596.4986310191061
1400 Washington Ave, Albany, NY 12222	10000	29	4	100	ga	147.9694344701838
1400 Washington Ave, Albany, NY 12222	10000	323	4	100	sa	1163.8956226797893
1400 Washington Ave, Albany, NY 12222	10000	388	4	100	nn	701.4603983160953
1400 Washington Ave, Albany, NY 12222	10000	242	4	100	aco	443.97470110493714
1400 Washington Ave, Albany, NY 12222	10000	62	4	100	sa	309.5226887125178
1400 Washington Ave, Albany, NY 12222	10000	97	4	100	sa	485.51235835993
1400 Washington Ave, Albany, NY 12222	10000	223	4	100	nn	533.8998307488018
1400 Washington Ave, Albany, NY 12222	10000	307	4	100	ga	954.3395628162878
1400 Washington Ave, Albany, NY 12222	10000	223	4	100	sa	905.9468556361328
1400 Washington Ave, Albany, NY 12222	10000	154	4	100	nn	392.5284209244869
1400 Washington Ave, Albany, NY 12222	10000	151	4	100	aco	355.84817222553386
1400 Washington Ave, Albany, NY 12222	10000	81	4	100	ga	358.3008682391893
1400 Washington Ave, Albany, NY 12222	10000	168	4	100	sa	749.2994515091592
1400 Washington Ave, Albany, NY 12222	10000	74	4	100	aco	227.46872280822822
1400 Washington Ave, Albany, NY 12222	10000	23	4	100	aco	136.89024320272844
1400 Washington Ave, Albany, NY 12222	10000	21	4	100	aco	104.80756057216757
1400 Washington Ave, Albany, NY 12222	10000	264	4	100	nn	586.3594275572199
1400 Washington Ave, Albany, NY 12222	10000	280	4	100	ga	906.5263651897981
1400 Washington Ave, Albany, NY 12222	10000	13	4	100	rl	141.3809679946397
1400 Washington Ave, Albany, NY 12222	10000	202	4	100	nn	510.44726466963965
1400 Washington Ave, Albany, NY 12222	10000	211	4	100	ga	815.5126417535218
1400 Washington Ave, Albany, NY 12222	10000	393	4	100	sa	1390.2265839397749
1400 Washington Ave, Albany, NY 12222	10000	123	4	100	sa	599.6347548888314
1400 Washington Ave, Albany, NY 12222	10000	218	4	100	aco	414.0978406883237
1400 Washington Ave, Albany, NY 12222	10000	360	4	100	nn	721.9079747668218
1400 Washington Ave, Albany, NY 12222	10000	159	4	100	sa	694.9661857148155
