address	distance	customers	trucks	truck_capacity	algorithm	total_distance
1400 Washington Ave, Albany, NY 12222	10000	19	4	50	sa	117.84852948959944
1400 Washington Ave, Albany, NY 12222	10000	169	4	50	nn	435.382600718846
1400 Washington Ave, Albany, NY 12222	10000	151	4	50	sa	538.0183323965139
1400 Washington Ave, Albany, NY 12222	10000	16	4	50	sa	107.76766126430188
1400 Washington Ave, Albany, NY 12222	10000	199	4	50	ga	597.08870741977
1400 Washington Ave, Albany, NY 12222	10000	59	4	50	sa	319.4943271015613
1400 Washington Ave, Albany, NY 12222	10000	15	4	50	ga	89.00524212176498
1400 Washington Ave, Albany, NY 12222	10000	121	4	50	nn	380.3391564159258
1400 Washington Ave, Albany, NY 12222	10000	41	4	50	ga	211.7599909656157
1400 Washington Ave, Albany, NY 12222	10000	166	4	50	aco	397.5197328581941
1400 Washington Ave, Albany, NY 12222	10000	47	4	50	ga	270.38174832423306
1400 Washington Ave, Albany, NY 12222	10000	82	4	50	nn	291.0764485628644
1400 Washington Ave, Albany, NY 12222	10000	40	4	50	aco	136.63878785806227
1400 Washington Ave, Albany, NY 12222	10000	73	4	50	nn	268.6583406688188
1400 Washington Ave, Albany, NY 12222	10000	82	4	50	ga	323.7748407107399
1400 Washington Ave, Albany, NY 12222	10000	196	4	50	sa	615.9606336041375
1400 Washington Ave, Albany, NY 12222	10000	15	4	50	ga	102.8424239351781
1400 Washington Ave, Albany, NY 12222	10000	11	4	50	ga	86.43280923593701
1400 Washington Ave, Albany, NY 12222	10000	1	4	50	ga	30.55554009282372
1400 Washington Ave, Albany, NY 12222	10000	59	4	50	ga	243.4590416734277
1400 Washington Ave, Albany, NY 12222	10000	166	4	50	nn	423.0488701611848
1400 Washington Ave, Albany, NY 12222	10000	128	4	50	aco	321.31172712506486
1400 Washington Ave, Albany, NY 12222	10000	149	4	50	sa	597.423760318589
1400 Washington Ave, Albany, NY 12222	10000	1	4	50	aco	40.25396455975385
1400 Washington Ave, Albany, NY 12222	10000	27	4	50	nn	168.2074171542895
1400 Washington Ave, Albany, NY 12222	10000	30	4	50	nn	144.44626448678065
1400 Washington Ave, Albany, NY 12222	10000	184	4	50	ga	552.795662713882
1400 Washington Ave, Albany, NY 12222	10000	141	4	50	nn	369.6080452442744
1400 Washington Ave, Albany, NY 12222	10000	192	4	50	sa	675.598364950605
1400 Washington Ave, Albany, NY 12222	10000	17	4	50	nn	116.4733761935481
1400 Washington Ave, Albany, NY 12222	10000	21	4	50	sa	133.52702905731687
1400 Washington Ave, Albany, NY 12222	10000	59	4	50	sa	318.0200397149469
1400 Washington Ave, Albany, NY 12222	10000	190	4	50	ga	655.9151630245203
1400 Washington Ave, Albany, NY 12222	10000	117	4	50	nn	377.8327512046569
1400 Washington Ave, Albany, NY 12222	10000	189	4	50	aco	445.2350505753864
1400 Washington Ave, Albany, NY 12222	10000	49	4	50	ga	259.3507334277259
1400 Washington Ave, Albany, NY 12222	10000	102	4	50	sa	439.3727693112464
1400 Washington Ave, Albany, NY 12222	10000	4	4	50	sa	79.25657782237651
1400 Washington Ave, Albany, NY 12222	10000	78	4	50	nn	301.65705669390724
1400 Washington Ave, Albany, NY 12222	10000	38	4	50	sa	206.07326506064575
1400 Washington Ave, Albany, NY 12222	10000	97	4	50	ga	375.98182891606024
1400 Washington Ave, Albany, NY 12222	10000	101	4	50	aco	260.2217245497375
1400 Washington Ave, Albany, NY 12222	10000	171	4	50	nn	421.16360772188847
1400 Washington Ave, Albany, NY 12222	10000	98	4	50	ga	406.9508705570462
1400 Washington Ave, Albany, NY 12222	10000	36	4	50	aco	140.45939593833958
1400 Washington Ave, Albany, NY 12222	10000	161	4	50	sa	509.2713037233723
1400 Washington Ave, Albany, NY 12222	10000	33	4	50	aco	144.11543963446945
1400 Washington Ave, Albany, NY 12222	10000	76	4	50	ga	317.09696187918723
1400 Washington Ave, Albany, NY 12222	10000	107	4	50	nn	350.8591466742454
1400 Washington Ave, Albany, NY 12222	10000	105	4	50	sa	475.4064478301824
1400 Washington Ave, Albany, NY 12222	10000	55	4	50	aco	219.46407691333852
1400 Washington Ave, Albany, NY 12222	10000	56	4	50	nn	241.32379020341742
1400 Washington Ave, Albany, NY 12222	10000	59	4	50	sa	335.3102641881467
1400 Washington Ave, Albany, NY 12222	10000	23	4	50	aco	116.52909824421586
1400 Washington Ave, Albany, NY 12222	10000	172	4	50	ga	585.7864618474143
1400 Washington Ave, Albany, NY 12222	10000	2	4	50	ga	36.33516325079151
1400 Washington Ave, Albany, NY 12222	10000	102	4	50	sa	422.74028273036646
1400 Washington Ave, Albany, NY 12222	10000	132	4	50	nn	378.7308892226121
1400 Washington Ave, Albany, NY 12222	10000	38	4	50	sa	190.8191497183788
1400 Washington Ave, Albany, NY 12222	10000	91	4	50	aco	298.0707953279914
1400 Washington Ave, Albany, NY 12222	10000	41	4	50	sa	220.32321285432977
1400 Washington Ave, Albany, NY 12222	10000	64	4	50	nn	288.05452622258633
1400 Washington Ave, Albany, NY 12222	10000	42	4	50	aco	156.11760400546407
1400 Washington Ave, Albany, NY 12222	10000	85	4	50	nn	279.9837827730853
1400 Washington Ave, Albany, NY 12222	10000	113	4	50	sa	499.92017659132
1400 Washington Ave, Albany, NY 12222	10000	195	4	50	ga	640.8426299225646
1400 Washington Ave, Albany, NY 12222	10000	43	4	50	sa	241.26279717554146
1400 Washington Ave, Albany, NY 12222	10000	93	4	50	nn	263.34212316144624
1400 Washington Ave, Albany, NY 12222	10000	22	4	50	sa	158.7568562676793
1400 Washington Ave, Albany, NY 12222	10000	20	4	50	sa	102.83934193324691
1400 Washington Ave, Albany, NY 12222	10000	5	4	50	sa	61.61365687772244
1400 Washington Ave, Albany, NY 12222	10000	97	4	50	ga	374.1571537777395
1400 Washington Ave, Albany, NY 12222	10000	119	4	50	aco	335.8356172275423
1400 Washington Ave, Albany, NY 12222	10000	132	4	50	nn	382.98312088439485
1400 Washington Ave, Albany, NY 12222	10000	96	4	50	ga	410.4046839802873
1400 Washington Ave, Albany, NY 12222	10000	34	4	50	aco	134.43372130804266
